,0,1,2,3,4,5,6,7,8,9
0,PERSON_ID,SEASON,0D_FQ,0D_FG_PCT,1D_FQ,1D_FG_PCT,2D_FQ,2D_FG_PCT,3D_FQ,3D_FG_PCT
164,201145,2013-14,0.417,0.447,0.18,0.367,0.137,0.352,0.222,0.407
165,2584,2013-14,0.594,0.36,0.173,0.426,0.089,0.333,0.129,0.371
166,201933,2013-14,0.592,0.542,0.16,0.535,0.108,0.514,0.116,0.471
167,203268,2013-14,0.648,0.571,0.111,0.167,0.037,1.0,0.13,0.143
168,202706,2013-14,0.507,0.422,0.168,0.452,0.154,0.368,0.136,0.28
169,201946,2013-14,0.663,0.492,0.233,0.444,0.062,0.333,0.041,0.5
170,203501,2013-14,0.573,0.407,0.147,0.465,0.125,0.488,0.13,0.416
171,201935,2013-14,0.311,0.444,0.11,0.561,0.1,0.433,0.285,0.496
172,203090,2013-14,0.553,0.523,0.156,0.44,0.127,0.344,0.139,0.388
173,202725,2013-14,0.79,0.516,0.148,0.25,0.012,0.0,0.049,0.5
174,1733,2013-14,0.618,0.398,0.121,0.417,0.131,0.346,0.131,0.423
175,2734,2013-14,0.299,0.413,0.088,0.545,0.072,0.389,0.287,0.333
176,202412,2013-14,0.4,0.429,0.086,0.667,0.143,0.3,0.271,0.316
177,200839,2013-14,0.721,0.455,0.213,0.615,0.049,0.333,0.016,0.0
178,202699,2013-14,0.522,0.461,0.231,0.479,0.133,0.463,0.084,0.383
179,201150,2013-14,0.725,0.488,0.143,0.341,0.08,0.457,0.051,0.356
180,101236,2013-14,0.727,0.462,0.203,0.269,0.063,0.375,0.008,1.0
181,202330,2013-14,0.438,0.394,0.186,0.469,0.117,0.405,0.162,0.413
182,201945,2013-14,0.352,0.466,0.236,0.44,0.188,0.43,0.205,0.367
183,202333,2013-14,0.384,0.439,0.174,0.4,0.14,0.375,0.247,0.447
184,203089,2013-14,0.561,0.574,0.282,0.503,0.119,0.453,0.038,0.5
185,201579,2013-14,0.641,0.458,0.219,0.427,0.087,0.338,0.053,0.4
186,201581,2013-14,0.672,0.562,0.221,0.438,0.063,0.244,0.044,0.414
187,2403,2013-14,0.682,0.494,0.141,0.536,0.113,0.522,0.064,0.5
188,201588,2013-14,0.452,0.509,0.09,0.418,0.076,0.348,0.156,0.379
189,201941,2013-14,0.76,0.573,0.125,0.569,0.06,0.355,0.054,0.357
190,203524,2013-14,0.641,0.36,0.077,0.333,0.154,0.667,0.103,0.5
191,2550,2013-14,0.388,0.428,0.122,0.446,0.089,0.333,0.179,0.339
192,201950,2013-14,0.153,0.565,0.075,0.5,0.126,0.386,0.255,0.383
193,200797,2013-14,0.847,0.754,0.111,0.625,0.028,0.5,0.014,1.0
194,201143,2013-14,0.778,0.59,0.097,0.55,0.075,0.387,0.043,0.444
195,2730,2013-14,0.493,0.711,0.218,0.489,0.155,0.468,0.131,0.467
196,203133,2013-14,0.768,0.39,0.136,0.333,0.073,0.385,0.017,0.333
197,2743,2013-14,0.737,0.537,0.137,0.397,0.072,0.455,0.05,0.304
198,201586,2013-14,0.849,0.558,0.103,0.47,0.032,0.258,0.016,0.375
199,2738,2013-14,0.512,0.478,0.141,0.547,0.091,0.561,0.15,0.426
200,101141,2013-14,0.758,0.431,0.14,0.342,0.081,0.304,0.019,0.455
201,202681,2013-14,0.268,0.396,0.073,0.456,0.107,0.424,0.217,0.419
202,101127,2013-14,0.227,0.405,0.132,0.402,0.143,0.44,0.232,0.414
203,202704,2013-14,0.255,0.451,0.075,0.391,0.086,0.405,0.245,0.42
204,1536,2013-14,0.769,0.3,0.077,0.0,0.115,0.0,0.038,0.0
205,2544,2013-14,0.341,0.643,0.13,0.594,0.097,0.523,0.232,0.508
206,2229,2013-14,0.19,0.25,0.095,0.0,0.095,0.0,0.238,0.4
207,1712,2013-14,0.868,0.278,0.055,0.2,0.066,0.833,0.011,0.0
208,2744,2013-14,0.57,0.5,0.312,0.552,0.082,0.459,0.036,0.313
209,2210,2013-14,0.621,0.459,0.179,0.427,0.13,0.447,0.061,0.425
